"place_string","address_google","status","lat","long"
"sebastopol, , ca, us","Sebastopol, CA 95472, USA","OK",-122.8238806,38.4021359
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"raymore, , mo, us","Raymore, MO 64083, USA","OK",-94.4527294,38.801953
"boston, , ma, us","Boston, MA, USA","OK",-71.0588801,42.3600825
"norristown, , pa, us","Norristown, PA, USA","OK",-75.3399048,40.121497
"lynchburg, , va, us","Lynchburg, VA, USA","OK",-79.1422464,37.4137536
"clayton, , nc, us","Clayton, NC, USA","OK",-78.4563914,35.650711
"cotulla , south of, tx, us","Cotulla, TX 78014, USA","OK",-99.2350322,28.436934
"hattiesburg, , ms, us","Hattiesburg, MS, USA","OK",-89.2903392,31.3271189
"lancaster, , pa, us","Lancaster, PA, USA","OK",-76.3055144,40.0378755
"la puente, , ca, us","La Puente, CA, USA","OK",-117.9495083,34.0200114
"fort collins, , co, us","Fort Collins, CO, USA","OK",-105.084423,40.5852602
"garison, , mn, ","Garrison, MN 56450, USA","OK",-93.8269216,46.2944038
"canmore , canada, ab, ca","Canmore, AB, Canada","OK",-115.3441856,51.0899934
"chennai , madras, , ","Chennai, Tamil Nadu, India","OK",80.2707184,13.0826802
"smithville, , mo, us","Smithville, MO 64089, USA","OK",-94.5810659,39.3869442
"richmond , canada, bc, ca","Richmond, BC, Canada","OK",-123.133569,49.1665898
"new york city, , ny, us","New York, NY, USA","OK",-74.0059728,40.7127753
"lisbon, , oh, us","Lisbon, OH 44432, USA","OK",-80.7681336,40.7720044
"salem, , or, us","Salem, OR, USA","OK",-123.0350963,44.9428975
"franklin, , tn, us","Franklin, TN, USA","OK",-86.8688899,35.9250637
"groveport, , oh, us","Groveport, OH, USA","OK",-82.888276,39.8532057
"lincoln city, , or, us","Lincoln City, OR, USA","OK",-124.0178914,44.9581644
"littleton, , co, us","Littleton, CO, USA","OK",-105.0166498,39.613321
"florissant, , co, us","Florissant, CO 80816, USA","OK",-105.2893555,38.946154
"paddock lake, , wi, us","Paddock Lake, WI 53168, USA","OK",-88.1050853,42.5775187
"black canyon city, , az, us","Black Canyon City, AZ 85324, USA","OK",-112.1295121,34.0774991
"gibsonia, , pa, us","Gibsonia, PA 15044, USA","OK",-79.9703318,40.6300567
"hillsville, , va, us","Hillsville, VA 24343, USA","OK",-80.7347947,36.7626282
"eastsound, , wa, us","Eastsound, WA 98245, USA","OK",-122.9061068,48.696654
"nampa, , id, us","Nampa, ID, USA","OK",-116.55978,43.5788175
"buhl, , mn, us","Buhl, MN, USA","OK",-92.7779599,47.4935403
"salisbury, , nc, us","Salisbury, NC, USA","OK",-80.4742261,35.6709727
"santa fe, , nm, us","Santa Fe, NM, USA","OK",-105.937799,35.6869752
"santa fe, , nm, us","Santa Fe, NM, USA","OK",-105.937799,35.6869752
"santa fe, , nm, us","Santa Fe, NM, USA","OK",-105.937799,35.6869752
"portage, , wi, us","Portage, WI 53901, USA","OK",-89.4626202,43.5391486
"mount isa , australia, , au","Mount Isa QLD 4825, Australia","OK",139.4927085,-20.7255748
"omro, , wi, us","Omro, WI 54963, USA","OK",-88.7442772,44.0394263
"bear, , de, us","Bear, DE, USA","OK",-75.6582628,39.6292788
"cicero, , il, us","Cicero, IL, USA","OK",-87.7539448,41.8455877
"san jose, , ca, us","San Jose, CA, USA","OK",-121.8863286,37.3382082
"new orleans, , la, us","New Orleans, LA, USA","OK",-90.0715323,29.9510658
"falls church, , va, us","Falls Church, VA, USA","OK",-77.1710914,38.882334
"woodbridge, , va, us","Woodbridge, VA 22191, USA","OK",-77.2497049,38.6581722
"sacramento, , ca, us","Sacramento, CA, USA","OK",-121.4943996,38.5815719
"walla walla, , wa, us","Walla Walla, WA 99362, USA","OK",-118.3430208,46.0645809
"birmingham, , al, us","Birmingham, AL, USA","OK",-86.8103567,33.5185892
"lake oswego, , or, us","Lake Oswego, OR, USA","OK",-122.7163273,45.415734
"hesperia, , ca, us","Hesperia, CA, USA","OK",-117.3008784,34.4263886
"seminole, , fl, us","Seminole, FL, USA","OK",-82.7912134,27.8397466
"harrisburg , just outside of, pa, us","Harrisburg, PA, USA","OK",-76.8867008,40.2731911
"corvallis, , or, us","Corvallis, OR, USA","OK",-123.2620435,44.5645659
"trenton , just outside, nj, us","Trenton, NJ, USA","OK",-74.759717,40.2205824
"maybrook, , ny, us","Maybrook, NY, USA","OK",-74.2176487,41.4839827
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"moorehead, , ky, ","Morehead, KY 40351, USA","OK",-83.4326841,38.1839705
"guaymas , mexico, , ","Guaymas, Sonora, Mexico","OK",-110.9089378,27.9178651
"boulder, , co, us","Boulder, CO, USA","OK",-105.2705456,40.0149856
"corbett, , or, us","Corbett, OR 97019, USA","OK",-122.2912175,45.5317887
"el dorado hills, , ca, us","El Dorado Hills, CA, USA","OK",-121.082167,38.6857367
"canyon, , ca, us","Canyon, CA, USA","OK",-122.1658805,37.8306731
"denton, , tx, us","Denton, TX, USA","OK",-97.1330683,33.2148412
"vail, , az, us","Vail, AZ 85641, USA","OK",-110.7009206,32.0005283
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
