"place_string","address_google","status","lat","long"
"oconomowoc, , wi, us","Oconomowoc, WI 53066, USA","OK",-88.4992659,43.1116731
"roseville, , mi, us","Roseville, MI 48066, USA","OK",-82.9371409,42.4972583
"holts summit, , mo, us","Holts Summit, MO 65043, USA","OK",-92.1224055,38.640315
"lumberton, , nj, us","Lumberton, NJ, USA","OK",-74.8003877,39.9676482
"new york city , staten island, ny, us","Staten Island, NY, USA","OK",-74.1502007,40.5795317
"prospect, , ct, us","Prospect, CT 06712, USA","OK",-72.9787163,41.5023192
"dubuque, , ia, us","Dubuque, IA, USA","OK",-90.6654675,42.5022661
"troy, , nh, us","Troy, NH, USA","OK",-72.1771541,42.8314347
"wind lake, , wi, us","Wind Lake, WI 53185, USA","OK",-88.1586997,42.8294603
"yarmouthport, , ma, ","Yarmouth Port, Yarmouth, MA 02675, USA","OK",-70.2133591,41.7088078
"brandon, , vt, us","Brandon, VT 05733, USA","OK",-73.0876119,43.7981195
"brentwood, , tn, us","Brentwood, TN, USA","OK",-86.7827772,36.0331164
"cassadaga, , ny, us","Cassadaga, NY 14718, USA","OK",-79.309489,42.3442247
"franklin, brentwood, tn, ","Brentwood, TN, USA","OK",-86.7827772,36.0331164
"millsboro, , de, us","Millsboro, DE 19966, USA","OK",-75.2913018,38.5915023
"norfolk, , ma, us","Norfolk, MA, USA","OK",-71.3250563,42.1195426
"norfolk, , ma, us","Norfolk, MA, USA","OK",-71.3250563,42.1195426
"squaw valley, , ca, us","Olympic Valley, CA 96146, USA","OK",-120.2357055,39.1969804
"toledo, , oh, us","Toledo, OH, USA","OK",-83.5378674,41.6528052
"port jeff station, , ny, ","Port Jefferson Station, NY, USA","OK",-73.0473284,40.9253764
"clermont, , fl, us","Clermont, FL, USA","OK",-81.7728543,28.5494447
"stone harbor, , nj, us","Stone Harbor, NJ 08247, USA","OK",-74.7643608,39.0464066
"painseville, , oh, ","Painesville, OH 44077, USA","OK",-81.245657,41.7244885
"bakersfield, , ca, us","Bakersfield, CA, USA","OK",-119.0187125,35.3732921
"mattapoisett, , ma, us","Mattapoisett, MA, USA","OK",-70.8150742,41.6616323
"wildwood, , nj, us","Wildwood, NJ 08260, USA","OK",-74.8148894,38.9917797
"cary, , il, us","Cary, IL, USA","OK",-88.247685,42.2132499
"waterbury, , ct, us","Waterbury, CT, USA","OK",-73.0514965,41.5581525
"dennisport, , ma, ","Dennis Port, Dennis, MA, USA","OK",-70.1286293,41.658445
"smithville, , tx, us","Smithville, TX 78957, USA","OK",-97.1594321,30.0085542
"lexington, , ky, us","Lexington, KY, USA","OK",-84.5037164,38.0405837
"hull , uk, , gb","Hull, UK","OK",-0.3274198,53.7676236
"sicklerville, , nj, us","Sicklerville, NJ 08081, USA","OK",-74.9697707,39.7172152
"new york city , brooklyn, ny, us","Brooklyn, NY, USA","OK",-73.9441579,40.6781784
"brightwaters, , ny, us","Brightwaters, NY, USA","OK",-73.2673399,40.7209321
"new york city , brooklyn, ny, us","Brooklyn, NY, USA","OK",-73.9441579,40.6781784
"beaverton, , or, us","Beaverton, OR, USA","OK",-122.8013771,45.4888761
"burlington , canada, on, ca","Burlington, ON, Canada","OK",-79.7990319,43.3255196
"clifton heights, , pa, ","Clifton Heights, PA 19018, USA","OK",-75.2962972,39.9292791
"brisbane , australia, , au","Brisbane QLD, Australia","OK",153.0251235,-27.4697707
"hugo, , mn, us","Hugo, MN, USA","OK",-92.9933412,45.159964
"olathe, , ks, us","Olathe, KS, USA","OK",-94.8191285,38.8813958
"ypsilanti, , mi, us","Ypsilanti, MI, USA","OK",-83.6129939,42.2411499
"keswick , canada, on, ca","Keswick, Georgina, ON, Canada","OK",-79.453512,44.2266889
"valdosta, , ga, us","Valdosta, GA, USA","OK",-83.2784851,30.8327022
"pocahontas, , ar, us","Pocahontas, AR 72455, USA","OK",-90.971233,36.2614554
"oshkosh, , wi, us","Oshkosh, WI, USA","OK",-88.5426136,44.0247062
"thompson, , ct, us","Thompson, CT, USA","OK",-71.8792264,41.9840732
"keene, , nh, us","Keene, NH, USA","OK",-72.2781409,42.933692
