"place_string","address_google","status","lat","long"
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"tempe, , az, us","Tempe, AZ, USA","OK",-111.9400054,33.4255104
"mesa, , az, us","Mesa, AZ, USA","OK",-111.8314724,33.4151843
"tempe, , az, us","Tempe, AZ, USA","OK",-111.9400054,33.4255104
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"punta gorda, , fl, us","Punta Gorda, FL, USA","OK",-82.0453664,26.9297836
"alexandria, , la, us","Alexandria, LA, USA","OK",-92.4451371,31.3112936
"warrenville, , il, us","Warrenville, IL, USA","OK",-88.1734021,41.817807
"wellington, , wa, ","Wellington, WA 98826, USA","OK",-121.1272683,47.7473729
"zionsville, , in, us","Zionsville, IN 46077, USA","OK",-86.261937,39.9508733
"bulgaria, , , ","Bulgaria","OK",25.48583,42.733883
"stevenage , uk, , gb","Stevenage, UK","OK",-0.196612,51.903761
"st. petersburg, , fl, us","St. Petersburg, FL, USA","OK",-82.6402915,27.7676008
"youngstown, , oh, us","Youngstown, OH, USA","OK",-80.6495194,41.0997803
"bettendorf, , ia, us","Bettendorf, IA, USA","OK",-90.5072573,41.5262641
"grandville, , mi, us","Grandville, MI, USA","OK",-85.7630885,42.9097484
"omaha, , ne, us","Omaha, NE, USA","OK",-95.9345034,41.2565369
"afghanistan , forward operating base, , ","Afghanistan","OK",66.9279814,32.1305227
"six mile, , sc, us","Six Mile, SC, USA","OK",-82.8206976,34.8073296
"lake stevens, , wa, us","Lake Stevens, WA 98258, USA","OK",-122.0637425,48.015098
"richardson, , tx, us","Richardson, TX, USA","OK",-96.7298519,32.9483335
"san pedro, , ca, us","San Pedro, Los Angeles, CA, USA","OK",-118.2922461,33.7360619
"chesaw, , wa, us","Chesaw, WA 98844, USA","OK",-119.0514317,48.9460104
"denver, , co, us","Denver, CO, USA","OK",-104.990251,39.7392358
"franklin, , pa, us","Franklin, PA 16323, USA","OK",-79.8314437,41.3978358
"fairmont, , wv, us","Fairmont, WV 26554, USA","OK",-80.1425781,39.4850848
"debrecen , hungary, , ","Debrecen, Hungary","OK",21.6273124,47.5316049
"nelsonville, , oh, us","Nelsonville, OH 45764, USA","OK",-82.2318156,39.458681
"winter garden, , fl, us","Winter Garden, FL 34787, USA","OK",-81.5861847,28.5652787
"west bloomfield, , mi, us","West Bloomfield Township, MI, USA","OK",-83.373339,42.5678534
"wheeling, , wv, us","Wheeling, WV 26003, USA","OK",-80.7209149,40.0639616
"sarajevo , bosnia, , ","Sarajevo, Bosnia and Herzegovina","OK",18.4130763,43.8562586
"kalispell, , mt, us","Kalispell, MT 59901, USA","OK",-114.316813,48.1919889
"royalton, , il, us","Royalton, IL 62983, USA","OK",-89.1145223,37.8769946
"orinda, , ca, us","Orinda, CA, USA","OK",-122.1796888,37.8771476
"new york city , brooklyn, ny, us","Brooklyn, NY, USA","OK",-73.9441579,40.6781784
