"place_string","address_google","status","lat","long"
"san antonio, , tx, us","San Antonio, TX, USA","OK",-98.4936282,29.4241219
"miami beach, , fl, us","Miami Beach, FL, USA","OK",-80.1300455,25.790654
"hialeah, , fl, us","Hialeah, FL, USA","OK",-80.2781057,25.8575963
"sugar land, , tx, us","Sugar Land, TX, USA","OK",-95.6225521,29.5984434
"south lyon, , mi, us","South Lyon, MI 48178, USA","OK",-83.6516063,42.46059
"cheyenne, , wy, us","Cheyenne, WY, USA","OK",-104.8202462,41.1399814
"grafton, , ma, ","Grafton, MA, USA","OK",-71.6856236,42.2070391
"pueblo, , co, us","Pueblo, CO, USA","OK",-104.6091409,38.2544472
"sandwich, , il, us","Sandwich, IL, USA","OK",-88.6217432,41.6458634
"luxemburg, , wi, us","Luxemburg, WI 54217, USA","OK",-87.7039813,44.5386065
"merrillville, , in, us","Merrillville, IN, USA","OK",-87.3328139,41.4828144
"schererville, merrillville, in, ","Schererville, IN, USA","OK",-87.4547605,41.4789246
"oaks, , pa, us","Oaks, PA, USA","OK",-75.4636031,40.133503
"long beach, , ca, us","Long Beach, CA, USA","OK",-118.1937395,33.7700504
"winter, , wi, us","Winter, WI 54896, USA","OK",-91.0118303,45.8196834
"woodstock, , wv, ","Woodstock, VA 22664, USA","OK",-78.5058429,38.8817784
"cambridge, , id, us","Cambridge, ID 83610, USA","OK",-116.6759918,44.5726619
"wilson, , nc, us","Wilson, NC, USA","OK",-77.9155395,35.7212689
"hockison, , wa, ","Hockinson, WA, USA","OK",-122.4870402,45.7378945
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"des moines, , ia, us","Des Moines, IA, USA","OK",-93.6249593,41.5868353
"decorah, , ia, us","Decorah, IA 52101, USA","OK",-91.7857092,43.3033056
"boca raton, , fl, us","Boca Raton, FL, USA","OK",-80.1289321,26.3683064
"pensacola, , fl, us","Pensacola, FL, USA","OK",-87.2169149,30.421309
"newark, , de, us","Newark, DE, USA","OK",-75.7496572,39.6837226
"alabaster, , al, us","Alabaster, AL, USA","OK",-86.8163773,33.2442813
"barstow , toward; south on hwy 40, ca, us","I-40, Barstow, CA, USA","OK",-117.0124729,34.885841
"cambridge , canada, on, ca","Cambridge, ON, Canada","OK",-80.3144276,43.3616211
"fort smith, , ar, us","Fort Smith, AR, USA","OK",-94.3985475,35.3859242
"goderich , canada, on, ca","Goderich, ON, Canada","OK",-81.7138942,43.7428345
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"mississauga , canada, on, ca","Mississauga, ON, Canada","OK",-79.6441198,43.5890452
"ephraim, , wi, us","Ephraim, WI, USA","OK",-87.1681659,45.1563784
"hastings, , mn, us","Hastings, MN 55033, USA","OK",-92.8513706,44.7443293
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"ashby, , mn, us","Ashby, MN 56309, USA","OK",-95.8175498,46.093016
"burlington , canada, on, ca","Burlington, ON, Canada","OK",-79.7990319,43.3255196
"coventry, exeter, ri, ","Coventry, RI, USA","OK",-71.5642076,41.6885978
"rochester, , mn, us","Rochester, MN, USA","OK",-92.4801989,44.0121221
"minneapolis, , mn, us","Minneapolis, MN, USA","OK",-93.2650108,44.977753
"daytona beach, , fl, us","Daytona Beach, FL, USA","OK",-81.0228331,29.2108147
"phoenixville, , pa, us","Phoenixville, PA 19460, USA","OK",-75.5149128,40.1303822
"west valley city, , ut, ","West Valley City, UT, USA","OK",-112.0010501,40.6916132
"farmerville, , la, us","Farmerville, LA 71241, USA","OK",-92.4056985,32.7734728
"windsor, , ct, us","Windsor, CT, USA","OK",-72.6437022,41.8525984
"export, , pa, us","Export, PA 15632, USA","OK",-79.6255989,40.4181235
"dayton, , oh, us","Dayton, OH, USA","OK",-84.1916069,39.7589478
"oak island, , nc, us","Oak Island, NC, USA","OK",-78.161106,33.9165623
"dartmouth , canada, ns, ca","Dartmouth, NS, Canada","OK",-63.5579269,44.7000282
"stafford, , va, us","Stafford Courthouse, VA 22554, USA","OK",-77.4083086,38.4220687
"dike, , ia, us","Dike, IA 50624, USA","OK",-92.6282497,42.4641498
"grove city, , mn, us","Grove City, MN 56243, USA","OK",-94.6805418,45.1493224
"lakeville, , mn, us","Lakeville, MN, USA","OK",-93.24272,44.6496868
"captiva, , fl, us","Captiva, FL 33924, USA","OK",-82.1892614,26.5220227
"philomath, , or, us","Philomath, OR 97370, USA","OK",-123.3676014,44.540121
"gering, , ne, us","Gering, NE 69341, USA","OK",-103.6577616,41.8263619
"grand marais, , mn, us","Grand Marais, MN 55604, USA","OK",-90.3342727,47.7504469
"marstons mills, , ma, us","Marstons Mills, Barnstable, MA 02648, USA","OK",-70.4235725,41.6716479
"valdosta, , ga, us","Valdosta, GA, USA","OK",-83.2784851,30.8327022
"shoreline, , wa, us","Shoreline, WA, USA","OK",-122.3456972,47.7559659
"whitby , canada, on, ca","Whitby, ON, Canada","OK",-78.9429329,43.8975446
"cardigan , uk, , gb","10 King St, Huddersfield HD1 2QB, UK","OK",-1.7780627,53.6456047
"ciechanow , poland, , ","06-400 Ciechanow, Poland","OK",20.6197948,52.8814838
"turlock, , ca, us","Turlock, CA, USA","OK",-120.8465941,37.4946568
"farmerville, , la, us","Farmerville, LA 71241, USA","OK",-92.4056985,32.7734728
"bismarck, , nd, us","Bismarck, ND, USA","OK",-100.7837392,46.8083268
"staines upon thames , uk, , ","Staines-upon-Thames, UK","OK",-0.515525,51.43148
"newtown square, , pa, us","Newtown Square, PA 19073, USA","OK",-75.4007058,39.9868904
"mexico city , mexico, , ","Mexico City, CDMX, Mexico","OK",-99.133208,19.4326077
"san antonio , ranch outside of, tx, us","9700 Military Dr W, San Antonio, TX 78251, USA","OK",-98.674895,29.4525744
"santa rosa, , ca, us","Santa Rosa, CA, USA","OK",-122.7140548,38.440429
"denver, , co, us","Denver, CO, USA","OK",-104.990251,39.7392358
"hutchinson, , ks, us","Hutchinson, KS, USA","OK",-97.9297743,38.0608445
