"place_string","address_google","status","lat","long"
"kannapolis, , nc, us","Kannapolis, NC, USA","OK",-80.6217341,35.4873613
"murfreesboro, , tn, us","Murfreesboro, TN, USA","OK",-86.39027,35.8456213
"wilson, , nc, us","Wilson, NC, USA","OK",-77.9155395,35.7212689
"elmont, , ny, us","Elmont, NY, USA","OK",-73.712909,40.700936
"mt. juliet, , tn, us","Mt. Juliet, TN, USA","OK",-86.5186054,36.200055
"ventura, , ca, us","Ventura, CA, USA","OK",-119.2945199,34.2804923
"south jordan, , ut, us","South Jordan, UT, USA","OK",-111.929658,40.5621704
"elkhart, , in, us","Elkhart, IN, USA","OK",-85.9766671,41.6819935
"new york city , brooklyn, ny, us","Brooklyn, NY, USA","OK",-73.9441579,40.6781784
"pawleys island, , sc, us","Pawleys Island, SC, USA","OK",-79.1214313,33.4332236
"ventura, , ca, us","Ventura, CA, USA","OK",-119.2945199,34.2804923
"charleston, , sc, us","Charleston, SC, USA","OK",-79.9310512,32.7764749
"gainesville, , ga, us","Gainesville, GA, USA","OK",-83.8240663,34.2978794
"norfolk, , va, us","Norfolk, VA, USA","OK",-76.2858726,36.8507689
"buffalo , west of; on highway 90 west, ny, us","I-90, New York, USA","OK",-74.2474737,42.933013
"struthers, , oh, us","Struthers, OH, USA","OK",-80.6078509,41.0525588
"san diego, , ca, us","San Diego, CA, USA","OK",-117.1610838,32.715738
"cedar park, , tx, us","Cedar Park, TX, USA","OK",-97.8202888,30.505198
"calmar , canada, ab, ca","Calmar, AB T0C 0V0, Canada","OK",-113.8054953,53.265047
"clifton, , nj, ","Clifton, NJ, USA","OK",-74.1637553,40.8584328
"tuscaloosa, , al, us","Tuscaloosa, AL, USA","OK",-87.5691735,33.2098407
"clarksville, , tn, us","Clarksville, TN, USA","OK",-87.3594528,36.5297706
"aleksandrow , poland, , ","Aleksandrów, Poland","OK",19.9895506,51.2707576
"gainesville, , fl, us","Gainesville, FL, USA","OK",-82.3248262,29.6516344
"hamstead , hollyridge, nc, ","Hampstead, NC, USA","OK",-77.7105482,34.3675936
"milton , canada, on, ca","Milton, ON, Canada","OK",-79.8774042,43.5182991
"woodstock, , ga, us","Woodstock, GA, USA","OK",-84.5193754,34.1014873
"nashville, , tn, us","Nashville, TN, USA","OK",-86.7816016,36.1626638
"boise, , id, us","Boise, ID, USA","OK",-116.2023137,43.6150186
"napa, , ca, us","Napa, CA, USA","OK",-122.286865,38.2975381
"vienna, , va, us","Vienna, VA 22180, USA","OK",-77.2652604,38.9012225
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
