"place_string","address_google","status","lat","long"
"mahomet, farmer city, il, ","102 S Prairie View Rd, Mahomet, IL 61853, USA","OK",-88.364829,40.196268
"indio, , ca, us","Indio, CA, USA","OK",-116.2155619,33.7205771
"myrtle beach-cherry grove, , sc, ","Cherry Grove Beach, North Myrtle Beach, SC 29582, USA","OK",-78.6430119,33.8278989
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"warren, , mi, us","Warren, MI, USA","OK",-83.0146526,42.5144566
"greenville, , me, us","Greenville, ME, USA","OK",-69.5905814,45.4594863
"madison, , wi, us","Madison, WI, USA","OK",-89.4012302,43.0730517
"st. petersburg, , fl, us","St. Petersburg, FL, USA","OK",-82.6402915,27.7676008
"edina, , mn, us","Edina, MN, USA","OK",-93.3499489,44.8896866
"oak lawn, , il, us","Oak Lawn, IL 60453, USA","OK",-87.7479528,41.719978
"dolton, , il, us","Dolton, IL, USA","OK",-87.607268,41.6389236
"mahwah, , nj, us","Mahwah, NJ 07430, USA","OK",-74.1435843,41.0886216
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"white bird, , id, us","White Bird, ID 83554, USA","OK",-116.3006974,45.7615508
"clarion, , pa, us","Clarion, PA 16214, USA","OK",-79.3853218,41.2147851
"camano island, , wa, ","Camano, WA, USA","OK",-122.5282138,48.1739862
"ocala, , fl, us","Ocala, FL, USA","OK",-82.1400923,29.1871986
"springfield, , tn, us","Springfield, TN 37172, USA","OK",-86.8849984,36.5092118
"irvine, , ca, us","Irvine, CA, USA","OK",-117.8265049,33.6845673
"baldock , uk, , gb","Baldock, UK","OK",-0.189128,51.9895039
"brighton , uk, , gb","Brighton, UK","OK",-0.137163,50.82253
"scottsdale, , az, us","Scottsdale, AZ, USA","OK",-111.9260519,33.4941704
"brampton , canada, on, ca","Brampton, ON, Canada","OK",-79.7624177,43.7315479
"two harbors, , mn, us","Two Harbors, MN 55616, USA","OK",-91.6707322,47.0227111
"aurora, , or, us","Aurora, OR 97002, USA","OK",-122.7559267,45.2309536
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"prescott, , az, us","Prescott, AZ, USA","OK",-112.4685025,34.5400242
"fern creek, , ky, us","Fern Creek, Louisville, KY 40291, USA","OK",-85.5991503,38.1651485
"fern creek, , ky, us","Fern Creek, Louisville, KY 40291, USA","OK",-85.5991503,38.1651485
"corvallis, , or, us","Corvallis, OR, USA","OK",-123.2620435,44.5645659
"rancho cucamonga, , ca, us","Rancho Cucamonga, CA, USA","OK",-117.5931084,34.1063989
"cumming, , ga, us","Cumming, GA, USA","OK",-84.1401926,34.2073196
"philadelphia, , pa, us","Philadelphia, PA, USA","OK",-75.1652215,39.9525839
"potters bar , uk, , gb","Potters Bar, UK","OK",-0.175948,51.696636
"escondido, , ca, us","Escondido, CA, USA","OK",-117.086421,33.1192068
"tokyo , japan, , ","Tokyo, Japan","OK",139.6503106,35.6761919
"panama city, , fl, us","Panama City, FL, USA","OK",-85.6602058,30.1588129
"inver grove heights, , mn, us","Inver Grove Heights, MN, USA","OK",-93.0427153,44.8480218
"daytona beach, , fl, us","Daytona Beach, FL, USA","OK",-81.0228331,29.2108147
"dow city, , ia, us","Dow City, IA 51528, USA","OK",-95.4938899,41.9288774
"henderson, , nv, us","Henderson, NV, USA","OK",-114.9817213,36.0395247
"pahrump, , nv, us","Pahrump, NV, USA","OK",-115.9839147,36.2082943
"san diego, , ca, us","San Diego, CA, USA","OK",-117.1610838,32.715738
"norwalk, , ct, us","Norwalk, CT, USA","OK",-73.4081575,41.117744
"las cruces, , nm, us","Las Cruces, NM, USA","OK",-106.7636538,32.3199396
"wellfleet, , ma, us","Wellfleet, MA, USA","OK",-70.0309753,41.9305468
"three rivers, , ca, us","Three Rivers, CA 93271, USA","OK",-118.9045445,36.4388364
"orange, , ca, us","Orange, CA, USA","OK",-117.8531007,33.7879139
"huron, , ca, us","Huron, CA 93234, USA","OK",-120.1029177,36.2027308
"columbus, , oh, us","Columbus, OH, USA","OK",-82.9987942,39.9611755
"el monte, monterey park , ca, ","Monterey Park, CA, USA","OK",-118.1228476,34.0625106
"englewood, , co, us","Englewood, CO, USA","OK",-104.9877597,39.6477653
"surprise, , az, us","Surprise, AZ, USA","OK",-112.3679279,33.6292337
"rochester, , ny, us","Rochester, NY, USA","OK",-77.6088465,43.1565779
"lake tawakoni, , tx, ","Lake Tawakoni, Texas, USA","OK",-95.9515399,32.8588053
"brampton , canada, on, ca","Brampton, ON, Canada","OK",-79.7624177,43.7315479
"dudley, , ma, us","Dudley, MA 01571, USA","OK",-71.9276033,42.0433661
"dudley , s. worcester co., ma, us","Dudley, MA 01571, USA","OK",-71.9276033,42.0433661
"everett, , wa, us","Everett, WA, USA","OK",-122.2020795,47.9789848
"regina , canada, sk, ca","Regina, SK, Canada","OK",-104.6188943,50.4452112
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"ankeny, , ia, us","Ankeny, IA, USA","OK",-93.6001278,41.7317884
"humbel, , tx, ","Humble, TX, USA","OK",-95.2621553,29.9988312
"chicago, , il, us","Chicago, IL, USA","OK",-87.6297982,41.8781136
"keyes, , ca, us","Keyes, CA, USA","OK",-120.9154858,37.5565994
"cape coral, , fl, us","Cape Coral, FL, USA","OK",-81.9495331,26.5628537
"emerald isle, , nc, us","Emerald Isle, NC 28594, USA","OK",-76.9507762,34.6779399
"cleveland, , oh, us","Cleveland, OH, USA","OK",-81.6943605,41.49932
"wayland, , mi, us","Wayland, MI 49348, USA","OK",-85.6447438,42.6739208
"morillon , france, , ","Morillon, France","OK",6.676266,46.083484
"plano, , tx, us","Plano, TX, USA","OK",-96.6988856,33.0198431
"braintree, , ma, us","Braintree, MA, USA","OK",-71.0040013,42.2079017
"miami, , fl, us","Miami, FL, USA","OK",-80.1917902,25.7616798
"mesquite, , tx, us","Mesquite, TX, USA","OK",-96.5991593,32.7667955
"browning, , mt, us","Browning, MT 59417, USA","OK",-113.0134175,48.5569174
"terre haute, , in, us","Terre Haute, IN, USA","OK",-87.4139092,39.4667034
"somerset, , ky, us","Somerset, KY, USA","OK",-84.6041084,37.0920222
"jennings, , mo, us","Jennings, MO, USA","OK",-90.2603903,38.7192175
"eagle bay, , ny, us","Eagle Bay, NY, USA","OK",-74.8169303,43.7687872
"aurora, , co, us","Aurora, CO, USA","OK",-104.8319195,39.7294319
"airway heights, , wa, us","Airway Heights, WA, USA","OK",-117.5932727,47.644611
"fisher, , pa, us","Fisher, PA 16258, USA","OK",-79.2425413,41.2664528
"mantoloking, , nj, us","Mantoloking, NJ 08738, USA","OK",-74.0498585,40.0392835
"wentzville, , mo, us","Wentzville, MO, USA","OK",-90.8529107,38.81144
"springboro, , oh, us","Springboro, OH, USA","OK",-84.2332718,39.5522815
"brookville, , oh, us","Brookville, OH 45309, USA","OK",-84.4113366,39.8367207
"st. pete beach, , fl, us","St Pete Beach, FL, USA","OK",-82.7504542,27.7428134
"st. pete beach, , fl, us","St Pete Beach, FL, USA","OK",-82.7504542,27.7428134
"culver, , in, us","Culver, IN 46511, USA","OK",-86.413003,41.22242
"kenner, , la, us","Kenner, LA, USA","OK",-90.2417434,29.9940924
"rice lake, , wi, us","Rice Lake, WI, USA","OK",-91.738225,45.5060682
"seaside, , or, us","Seaside, OR 97138, USA","OK",-123.9226385,45.9931636
"swainsboro, , ga, us","Swainsboro, GA 30401, USA","OK",-82.3337376,32.5973856
"temecula, , ca, us","Temecula, CA, USA","OK",-117.1483648,33.4936391
"tigard, , or, us","Tigard, OR, USA","OK",-122.7872475,45.4186785
"warwick, , ny, us","Warwick, NY, USA","OK",-74.3822058,41.2638494
"zanesfield, , oh, us","Zanesfield, OH, USA","OK",-83.6771533,40.338388
"hollister, , ca, us","Hollister, CA 95023, USA","OK",-121.4016021,36.8524545
"panorama city, , ca, us","Panorama City, Los Angeles, CA, USA","OK",-118.442425,34.227617
"mantoloking, , nj, us","Mantoloking, NJ 08738, USA","OK",-74.0498585,40.0392835
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
