"place_string","address_google","status","lat","long"
"salt lake city, , ut, us","Salt Lake City, UT, USA","OK",-111.8910474,40.7607793
"west fargo, , nd, us","West Fargo, ND, USA","OK",-96.8999057,46.8769487
"bolivar, , mo, us","Bolivar, MO 65613, USA","OK",-93.4104749,37.6144838
"humansville, , mo, us","Humansville, MO 65674, USA","OK",-93.5779815,37.7944806
"channelview, , tx, us","Channelview, TX, USA","OK",-95.1146533,29.7760599
"degraff, , oh, ","De Graff, OH 43318, USA","OK",-83.9157704,40.3119964
"durban , south africa, , ","Durban, South Africa","OK",31.0218404,-29.8586804
"berea, , oh, us","Berea, OH 44017, USA","OK",-81.8543026,41.3661614
"toronto , canada, on, ca","Toronto, ON, Canada","OK",-79.3831843,43.653226
"miami, , fl, us","Miami, FL, USA","OK",-80.1917902,25.7616798
"wheeling, , wv, us","Wheeling, WV 26003, USA","OK",-80.7209149,40.0639616
"acton , canada, on, ca","Acton Regional County Municipality, QC, Canada","OK",-72.5239499,45.5893025
"waterloo-chelsea, , mi, ","Chelsea, MI 48118, USA","OK",-84.0205029,42.3180919
"reamstown, , pa, us","Reamstown, PA, USA","OK",-76.1232796,40.2114823
"granville summit, , pa, us","Granville Summit, PA 16926, USA","OK",-76.7791224,41.7178527
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"lordstown, , oh, us","Lordstown, OH, USA","OK",-80.8575849,41.1656129
"johnsonburg, , nj, us","Johnsonburg, NJ, USA","OK",-74.8784082,40.9646
"tionesta, , pa, us","Tionesta, PA 16353, USA","OK",-79.4558798,41.49534
"toronto , canada, on, ca","Toronto, ON, Canada","OK",-79.3831843,43.653226
"lancaster, , pa, us","Lancaster, PA, USA","OK",-76.3055144,40.0378755
"lexington, , mi, us","Lexington, MI 48450, USA","OK",-82.5307575,43.268082
"sagamore hills, , oh, us","Sagamore Hills Township, OH, USA","OK",-81.5706109,41.3223093
"windsor , canada, on, ca","Windsor, ON, Canada","OK",-83.0363633,42.3149367
