"place_string","address_google","status","lat","long"
"yucca valley, , ca, us","Yucca Valley, CA 92284, USA","OK",-116.432235,34.1141743
"hyde park, , pa, us","Hyde Park, PA, USA","OK",-79.5897676,40.6325654
"ventura, , ca, us","Ventura, CA, USA","OK",-119.2945199,34.2804923
"boise, , id, us","Boise, ID, USA","OK",-116.2023137,43.6150186
"bangor, , me, us","Bangor, ME 04401, USA","OK",-68.7712257,44.8016128
"oxen hill, , md, ","Oxon Hill, MD, USA","OK",-76.9897278,38.8033178
"binghamton, , ny, us","Binghamton, NY, USA","OK",-75.9179738,42.0986867
"brisbane , australia, , au","Brisbane QLD, Australia","OK",153.0251235,-27.4697707
"dayton, , oh, us","Dayton, OH, USA","OK",-84.1916069,39.7589478
"chicago, , il, us","Chicago, IL, USA","OK",-87.6297982,41.8781136
"darmstadt , germany, , de","Darmstadt, Germany","OK",8.6511929,49.8728253
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"camden, , ar, us","Camden, AR 71701, USA","OK",-92.8343294,33.5845581
"corry, , pa, us","Corry, PA 16407, USA","OK",-79.6403287,41.9203337
"billings, , mt, us","Billings, MT, USA","OK",-108.5006904,45.7832856
"fairfield, , ca, us","Fairfield, CA, USA","OK",-122.0405151,38.2491956
"gadsden, , al, us","Gadsden, AL, USA","OK",-86.0066386,34.014264
"columbia, , sc, us","Columbia, SC, USA","OK",-81.0348144,34.0007104
"monmouth junction, , nj, us","Monmouth Junction, South Brunswick Township, NJ 08852, USA","OK",-74.5465436,40.3789957
"winnie , near, tx, us","Winnie, TX 77665, USA","OK",-94.3840777,29.8202205
"zanesville, , oh, us","Zanesville, OH 43701, USA","OK",-82.0131924,39.9403453
"mississippi , rural; hitchhiking, ms, ","Mississippi, USA","OK",-89.3985283,32.3546679
"renton, , wa, us","Renton, WA, USA","OK",-122.2079218,47.4796927
"minot, , nd, us","Minot, ND, USA","OK",-101.2922906,48.2329668
"clovis, , ca, us","Clovis, CA, USA","OK",-119.7029194,36.8252277
"danang , viet nam, , ","Da Nang, Hải Châu District, Da Nang, Vietnam","OK",108.2021667,16.0544068
"sanford, , fl, us","Sanford, FL, USA","OK",-81.269453,28.8028612
"boulder, , co, us","Boulder, CO, USA","OK",-105.2705456,40.0149856
