"place_string","address_google","status","lat","long"
"westminster, , co, us","Westminster, CO, USA","OK",-105.0372046,39.8366528
"somers, , ct, us","Somers, CT, USA","OK",-72.4460798,41.9851929
"dallas, , tx, us","Dallas, TX, USA","OK",-96.7969879,32.7766642
"ridgeway, , sc, us","Ridgeway, SC 29130, USA","OK",-80.9603643,34.307647
"lane, , ok, us","Lane, OK 74555, USA","OK",-95.9880421,34.298706
"snohomish, , wa, us","Snohomish, WA, USA","OK",-122.0981847,47.9128756
"ash springs , near, nv, us","Ash Springs, NV, USA","OK",-115.1941034,37.461439
"selma, , ca, us","Selma, CA 93662, USA","OK",-119.6120765,36.5707838
"clayton, , ok, us","Clayton, OK 74536, USA","OK",-95.3527475,34.589545
"myrtle beach, , sc, us","Myrtle Beach, SC, USA","OK",-78.8866943,33.6890603
"litchfield, , sc, ","Litchfield Beach, SC 29585, USA","OK",-79.0997632,33.4668348
"mcalester, , ok, us","McAlester, OK 74501, USA","OK",-95.7697131,34.9334298
"north myrtle beach, , sc, us","North Myrtle Beach, SC, USA","OK",-78.680016,33.8160058
"wichita, , ks, us","Wichita, KS, USA","OK",-97.330053,37.6871761
"wichita, , ks, us","Wichita, KS, USA","OK",-97.330053,37.6871761
"waldport, , or, us","Waldport, OR 97394, USA","OK",-124.0687302,44.426786
"iowa cuty, , ia, ","Iowa City, IA, USA","OK",-91.5301683,41.6611277
"rapid city, , sd, us","Rapid City, SD, USA","OK",-103.2310149,44.0805434
"myrtle beach, , sc, us","Myrtle Beach, SC, USA","OK",-78.8866943,33.6890603
"missourri city, , tx, ","Missouri City, TX, USA","OK",-95.5377215,29.6185669
"saint ignatius, , mt, us","St Ignatius, MT 59865, USA","OK",-114.0939979,47.3199306
"canfield, , oh, us","Canfield, OH 44406, USA","OK",-80.7609121,41.0250584
"custer, , mt, us","Custer, MT 59024, USA","OK",-107.5550754,46.1291529
"bremerton, , wa, us","Bremerton, WA, USA","OK",-122.6269768,47.5650067
"dumas, , tx, us","Dumas, TX 79029, USA","OK",-101.9732236,35.8653789
"hammond, , in, us","Hammond, IN, USA","OK",-87.5000412,41.5833688
"niagara falls, , ny, us","Niagara Falls, NY, USA","OK",-79.0377388,43.0962143
"mayfield, , ny, us","Mayfield, NY, USA","OK",-74.2414092,43.1326734
"mountian view, , ca, ","Mountain View, CA, USA","OK",-122.0838511,37.3860517
"knightstown, , in, us","Knightstown, IN 46148, USA","OK",-85.5263629,39.7956007
"bierenbachtal , germany, , de","Bierenbachtal, 51588 Nümbrecht, Germany","OK",7.5554955,50.9286623
"rome, , ga, us","Rome, GA, USA","OK",-85.1646726,34.257038
"calgary , canada, ab, ca","Calgary, AB, Canada","OK",-114.0718831,51.0447331
"red deer , canada, ab, ca","Red Deer, AB, Canada","OK",-113.8115599,52.268975
"ames, , ia, us","Ames, IA, USA","OK",-93.6319131,42.0307812
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"duarte, , ca, us","Duarte, CA, USA","OK",-117.9772873,34.1394513
"sainte-julie , canada, qc, ","Sainte-Julie, QC, Canada","OK",-73.3426988,45.5924997
"liberal, , ks, us","Liberal, KS 67901, USA","OK",-100.920999,37.0430812
"winchester, , va, us","Winchester, VA 22601, USA","OK",-78.1633341,39.1856597
"new leake , uk, , ","New Leake, Boston PE22 8JY, UK","OK",0.093943,53.094602
"wolverhampton , uk, , gb","Wolverhampton, UK","OK",-2.12882,52.586973
"salem, , nh, us","Salem, NH 03079, USA","OK",-71.2008912,42.7885553
"chandler, , az, us","Chandler, AZ, USA","OK",-111.8412502,33.3061605
"longmont, , co, us","Longmont, CO, USA","OK",-105.1019275,40.1672068
"ramsgate , kent, , gb","Ramsgate, UK","OK",1.419895,51.335545
"rimrock lake, , wa, ","Rimrock Lake, Washington 98937, USA","OK",-121.1663016,46.6413466
"kingston , canada, on, ca","Kingston, ON, Canada","OK",-76.4859544,44.2311717
"atlantic ocean, , nj, ","1200 Eagle Ave, Ocean Township, NJ 07712, USA","OK",-74.0402575,40.2443725
"columbus , north of&#44 at the 160mile post, oh, us",NA,"REQUEST_DENIED",NA,NA
"malta, , ny, us","Malta, NY 12020, USA","OK",-73.7868236,42.9854395
"jacksonville, , fl, us","Jacksonville, FL, USA","OK",-81.655651,30.3321838
"escondido, , ca, us","Escondido, CA, USA","OK",-117.086421,33.1192068
"east springfield, , pa, us","East Springfield, PA 16411, USA","OK",-80.4072896,41.9650559
"san antonio, , tx, us","San Antonio, TX, USA","OK",-98.4936282,29.4241219
"york, , pa, us","York, PA, USA","OK",-76.727745,39.9625984
"la grande , union county airport, or, us","La Grande Airport (LGD), 60175 Pierce Rd, La Grande, OR 97850, USA","OK",-118.013651,45.2897179
"porterville, , ca, us","Porterville, CA 93257, USA","OK",-119.0167679,36.06523
"claremont, , ca, us","Claremont, CA, USA","OK",-117.7197785,34.0966764
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"pound ridge, , ny, us","Pound Ridge, NY 10576, USA","OK",-73.57482,41.208442
"robbins, , tx, us","Robbins, TX 75846, USA","OK",-96.1227401,31.255458
"manchester , uk, , gb","Manchester, UK","OK",-2.2426305,53.4807593
"elk city, , ok, us","Elk City, OK, USA","OK",-99.4042592,35.4119944
"elk city, , ok, us","Elk City, OK, USA","OK",-99.4042592,35.4119944
"huntsville, , al, us","Huntsville, AL, USA","OK",-86.5861037,34.7303688
"london , uk, , gb","London, UK","OK",-0.1277583,51.5073509
"marysville, , ca, us","Marysville, CA, USA","OK",-121.5913547,39.1457253
"twin falls, , id, us","Twin Falls, ID, USA","OK",-114.4700518,42.5558381
"hattiesburg, , ms, us","Hattiesburg, MS, USA","OK",-89.2903392,31.3271189
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
"puerto de mazarron , spain, , ","Puerto de Mazarrón, Murcia, Spain","OK",-1.266238,37.5640068
"roswell, , nm, us","Roswell, NM, USA","OK",-104.5230242,33.3942655
"harbor city, , ca, us","Harbor City, CA, USA","OK",-118.2965084,33.7906551
"las vegas , north, nv, us","North Las Vegas, NV, USA","OK",-115.1175013,36.1988592
"oklahoma city, , ok, us","Oklahoma City, OK, USA","OK",-97.5164276,35.4675602
"utah , south west, ut, ","Utah, USA","OK",-111.0937311,39.3209801
"france , antibes, , ","Antibes, France","OK",7.125102,43.580418
"leakey, , tx, us","Leakey, TX 78873, USA","OK",-99.761448,29.7288351
