"place_string","address_google","status","lat","long"
"watertown, , sd, us","Watertown, SD 57201, USA","OK",-97.1150732,44.8994088
"willowbrook, , il, us","Willowbrook, IL, USA","OK",-87.9358931,41.7697533
"hodgkins, , il, us","Hodgkins, IL, USA","OK",-87.857835,41.7689207
"chesapeake, , va, us","Chesapeake, VA, USA","OK",-76.2874927,36.7682088
"corpus christi, , tx, us","Corpus Christi, TX, USA","OK",-97.396381,27.8005828
"brick, , nj, ","Brick Township, NJ, USA","OK",-74.1371832,40.0578384
"leavenworth, , ks, us","Leavenworth, KS, USA","OK",-94.9224637,39.3111112
"longs, , sc, us","Longs, SC 29568, USA","OK",-78.7330737,33.9385051
"nunn, , co, us","Nunn, CO 80648, USA","OK",-104.7808024,40.7035916
"plattekill, , ny, us","Plattekill, NY, USA","OK",-74.0593872,41.6239741
"st. paul, , mn, us","St Paul, MN, USA","OK",-93.0899578,44.9537029
"adams county , on co. hwy. d, wi, us","Adams County, WI, USA","OK",-89.7755338,44.0196955
"augusta, , ga, us","Augusta, GA, USA","OK",-82.0105148,33.4734978
"lake villa, , il, us","Lake Villa, IL, USA","OK",-88.0739708,42.4169651
"muncie, , in, us","Muncie, IN, USA","OK",-85.3863599,40.1933767
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"racine, , wi, us","Racine, WI, USA","OK",-87.7828523,42.7261309
"mission viejo, , ca, us","Mission Viejo, CA, USA","OK",-117.6581562,33.5968913
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"westboro, , mo, us","Westboro, MO 64498, USA","OK",-95.3191475,40.5347196
"huntington beach, , ca, us","Huntington Beach, CA, USA","OK",-117.9988026,33.6594835
"fort wayne, , in, us","Fort Wayne, IN, USA","OK",-85.1393513,41.079273
"morrison, , il, us","Morrison, IL 61270, USA","OK",-89.9651186,41.809751
"mount vernon, , wa, us","Mt Vernon, WA, USA","OK",-122.3374543,48.4201105
"kenosha, , wi, us","Kenosha, WI, USA","OK",-87.8211854,42.5847425
"st. augustine, , fl, us","St. Augustine, FL, USA","OK",-81.3124341,29.9012437
"jeffersonville, , in, us","Jeffersonville, IN, USA","OK",-85.7371847,38.2775702
"sunerland, , ma, ","Sunderland, MA, USA","OK",-72.5795115,42.4663727
"raleigh, , nc, us","Raleigh, NC, USA","OK",-78.6381787,35.7795897
"rocky mount, , nc, us","Rocky Mount, NC, USA","OK",-77.7905339,35.9382103
"jacksonville, , fl, us","Jacksonville, FL, USA","OK",-81.655651,30.3321838
"scott depot, , wv, us","Scott Depot, Teays Valley, WV 25560, USA","OK",-81.9175839,38.4415766
"federal way, , wa, us","Federal Way, WA, USA","OK",-122.3126222,47.3223221
"woodbury, , ct, us","Woodbury, CT 06798, USA","OK",-73.2090025,41.5445404
"port charlotte, , fl, us","Port Charlotte, FL, USA","OK",-82.0906448,26.9761707
"hoffman estates, , il, us","Hoffman Estates, IL, USA","OK",-88.1227199,42.0629915
"portsmouth, , nh, us","Portsmouth, NH 03801, USA","OK",-70.7625532,43.0717552
"dudley, , ma, us","Dudley, MA 01571, USA","OK",-71.9276033,42.0433661
"clearwater beach, , fl, us","Clearwater Beach, Clearwater, FL, USA","OK",-82.8285877,27.972065
"clinton, , in, us","Clinton, IN 47842, USA","OK",-87.3980741,39.6569817
"tucson, , az, us","Tucson, AZ, USA","OK",-110.9747108,32.2226066
"tucson, , az, us","Tucson, AZ, USA","OK",-110.9747108,32.2226066
"washington, , mi, us","Washington, MI 48094, USA","OK",-83.0354679,42.7185255
"martinsville, , in, us","Martinsville, IN 46151, USA","OK",-86.4283279,39.4278253
"port charlotte, , fl, us","Port Charlotte, FL, USA","OK",-82.0906448,26.9761707
"kelso, , wa, us","Kelso, WA, USA","OK",-122.9084445,46.146779
"new washington, , oh, us","New Washington, OH 44854, USA","OK",-82.8543501,40.9622784
"valley head, , wv, us","Valley Head, WV 26294, USA","OK",-80.0359015,38.545113
"coral gables, , fl, us","Coral Gables, FL, USA","OK",-80.2635411,25.7491968
"maumee, , oh, us","Maumee, OH, USA","OK",-83.6538244,41.5628294
"spokane valley, , wa, us","Spokane Valley, WA, USA","OK",-117.2393748,47.6732281
"campbell, , ca, us","Campbell, CA, USA","OK",-121.9499568,37.2871651
"kelso, , wa, us","Kelso, WA, USA","OK",-122.9084445,46.146779
"mclean, , va, us","McLean, VA, USA","OK",-77.1772604,38.9338676
"lewisville, , tx, us","Lewisville, TX, USA","OK",-96.994174,33.046233
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"stilwell, , ok, us","Stilwell, OK 74960, USA","OK",-94.6285553,35.81453
"san marcos, , tx, us","San Marcos, TX, USA","OK",-97.9413941,29.8832749
"little river, , sc, us","Little River, SC 29566, USA","OK",-78.6141798,33.8732279
"hernando, , ms, us","Hernando, MS, USA","OK",-89.9937018,34.823987
"honolulu, , hi, us","Honolulu, HI, USA","OK",-157.8583333,21.3069444
"lubbock, , tx, us","Lubbock, TX, USA","OK",-101.8551665,33.5778631
"caldwell, , id, us","Caldwell, ID, USA","OK",-116.6873596,43.6629384
"kelso, , wa, us","Kelso, WA, USA","OK",-122.9084445,46.146779
"hillsboro, , or, us","Hillsboro, OR, USA","OK",-122.9356776,45.526088
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"highlands ranch, , co, us","Highlands Ranch, CO, USA","OK",-104.9739333,39.5480789
"beebe, , ar, us","Beebe, AR 72012, USA","OK",-91.8795856,35.0706423
"levittown, , ny, us","Levittown, NY, USA","OK",-73.5142921,40.7259336
"frankfort, , ky, us","Frankfort, KY 40601, USA","OK",-84.8732835,38.2009055
"portland, , or, us","Portland, OR, USA","OK",-122.6750261,45.5051064
"omaha, , ne, us","Omaha, NE, USA","OK",-95.9345034,41.2565369
"albuquerque, , nm, us","Albuquerque, NM, USA","OK",-106.650422,35.0843859
"glen rose, , ar, us","Glen Rose, AR 72104, USA","OK",-92.729264,34.4556316
"presque isle, , me, us","Presque Isle, ME, USA","OK",-68.0158614,46.681153
"arkansas , rural, ar, ","Brewer, AR 72044, USA","OK",-92.1795971,35.6700769
"kent, , wa, us","Kent, WA, USA","OK",-122.2348432,47.3809335
"manaus-amazonas , brazil, al, ","Manaus, State of Amazonas, Brazil","OK",-60.0217314,-3.1190275
"gloucseter , uk, , ","Gloucester, UK","OK",-2.238156,51.8642449
"tarzana, , ca, us","Tarzana, Los Angeles, CA, USA","OK",-118.5506158,34.1494848
"bricktown, , nj, us","Brick Township, NJ, USA","OK",-74.1371832,40.0578384
"poughkeepsie, , ny, us","Poughkeepsie, NY, USA","OK",-73.9209701,41.7003713
"sumter, , sc, us","Sumter, SC, USA","OK",-80.3414693,33.9204354
"north bend, , wa, us","North Bend, WA 98045, USA","OK",-121.7867775,47.4956579
"philadelphia, , pa, us","Philadelphia, PA, USA","OK",-75.1652215,39.9525839
"salluit , canada, qc, ","Salluit, QC J0M, Canada","OK",-75.5683448,62.1450667
"redding, , ca, us","Redding, CA, USA","OK",-122.3916754,40.5865396
"toronto , canada, on, ca","Toronto, ON, Canada","OK",-79.3831843,43.653226
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"peebles, , oh, us","Peebles, OH 45660, USA","OK",-83.4057458,38.9489593
"guarenas&#44 miranda , venezuela, , ",NA,"REQUEST_DENIED",NA,NA
"clearwater beach, , fl, us","Clearwater Beach, Clearwater, FL, USA","OK",-82.8285877,27.972065
"salton sea , over, ca, ","Salton Sea, California, USA","OK",-115.8434122,33.3286185
"marion, , wi, us","Marion, WI 54950, USA","OK",-88.889272,44.670812
"ferndale, , wa, us","Ferndale, WA 98248, USA","OK",-122.5910056,48.8464991
"atlanta, , ga, us","Atlanta, GA, USA","OK",-84.3879824,33.7489954
"marina del rey, los angeles, ca, ","Marina Del Rey, CA 90292, USA","OK",-118.4517449,33.9802893
"glendale, , az, us","Glendale, AZ, USA","OK",-112.1859866,33.5386523
"valle de bravo , mexico, , ","Valle de Bravo, State of Mexico, Mexico","OK",-100.1326725,19.1950964
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
