"place_string","address_google","status","lat","long"
"sumner, , wa, us","Sumner, WA, USA","OK",-122.2403966,47.2031566
"pueblo, , co, us","Pueblo, CO, USA","OK",-104.6091409,38.2544472
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"kent, , wa, us","Kent, WA, USA","OK",-122.2348432,47.3809335
"lynnwood, , wa, us","Lynnwood, WA, USA","OK",-122.3151314,47.8209301
"rainier, , wa, us","Rainier, WA 98576, USA","OK",-122.6884595,46.888155
"monroe, , wi, us","Monroe, WI 53566, USA","OK",-89.6384532,42.6011194
"natrona heights&#44 new kensington, , pa, ",NA,"REQUEST_DENIED",NA,NA
"kingston, , ny, us","Kingston, NY 12401, USA","OK",-73.9973608,41.9270367
"germantown, , md, us","Germantown, MD, USA","OK",-77.2716502,39.1731621
"karavostasi , greece, , ","Karavostasi 460 30, Greece","OK",20.2899635,39.3375148
"winslow, , az, us","Winslow, AZ 86047, USA","OK",-110.6973571,35.0241873
"athol, , id, us","Athol, ID 83801, USA","OK",-116.7079745,47.9479601
"grants, , nm, us","Grants, NM 87020, USA","OK",-107.8514466,35.14726
"port hadlock, , wa, us","Port Hadlock-Irondale, WA, USA","OK",-122.7760267,48.0351216
"orlando, , fl, us","Orlando, FL, USA","OK",-81.3792365,28.5383355
"new york city , staten island, ny, us","Staten Island, NY, USA","OK",-74.1502007,40.5795317
"new york city , staten island, ny, us","Staten Island, NY, USA","OK",-74.1502007,40.5795317
"castro valley, , ca, us","Castro Valley, CA, USA","OK",-122.0738678,37.6955029
"edmonds, , wa, us","Edmonds, WA, USA","OK",-122.3773551,47.8106521
"riverton, , ut, us","Riverton, UT, USA","OK",-111.9391023,40.521893
"new york city, , ny, us","New York, NY, USA","OK",-74.0059728,40.7127753
"saco, , me, us","Saco, ME, USA","OK",-70.4428286,43.5009176
"redmond, , wa, us","Redmond, WA, USA","OK",-122.121512,47.6739881
"peterborough , canada, on, ca","Peterborough, ON, Canada","OK",-78.319747,44.309058
"long beach , sports arena, ca, us","300 E Ocean Blvd, Long Beach, CA 90802, USA","OK",-118.1893341,33.7652036
"hartland, , mi, us","Hartland, MI 48353, USA","OK",-83.754382,42.6568196
"perry township, , oh, ","Perry Township, OH, USA","OK",-83.0602998,40.0986064
"san diego, , ca, us","San Diego, CA, USA","OK",-117.1610838,32.715738
"bellevue, , wa, us","Bellevue, WA, USA","OK",-122.2015159,47.6101497
"rye, , co, us","Rye, CO 81069, USA","OK",-104.9302662,37.9236194
"oologah, , ok, us","Oologah, OK 74053, USA","OK",-95.708315,36.4470387
"granville, , ma, us","Granville, MA, USA","OK",-72.9224329,42.0996545
"quesnel , canada, bc, ca","Quesnel, BC, Canada","OK",-122.4949058,52.9817372
"slocan park , canada, bc, ","Slocan Park, BC V0G 2E0, Canada","OK",-117.618387,49.51397
"circleville, , oh, us","Circleville, OH 43113, USA","OK",-82.9460133,39.600618
"eureka, , ca, us","Eureka, CA, USA","OK",-124.1636729,40.8020712
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"albuquerque, , nm, us","Albuquerque, NM, USA","OK",-106.650422,35.0843859
"richmond, , va, us","Richmond, VA, USA","OK",-77.4360481,37.5407246
"tucson, , az, us","Tucson, AZ, USA","OK",-110.9747108,32.2226066
"sebastian inlet , north of, fl, ","Sebastian Inlet, Florida 32963, USA","OK",-80.4472737,27.860302
"dunstable , uk, , gb","Dunstable, UK","OK",-0.52039,51.885644
"sidney, , mi, us","Sidney, MI 48885, USA","OK",-85.1330746,43.2500317
"saskatoon , canada, sk, ca","Saskatoon, SK, Canada","OK",-106.6700458,52.1332144
"evergreen park, tinley park, il, ","Tinley Park Memorial Cemetery, Tinley Park, IL 60487, USA","OK",-87.8231972,41.5792437
"harrisburg, , mo, us","Harrisburg, MO 65256, USA","OK",-92.4626807,39.1417046
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"orland park, , il, us","Orland Park, IL, USA","OK",-87.8539425,41.6303103
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"midlothian, posen, il, ","Posen, IL, USA","OK",-87.681437,41.6317008
"orland park, , il, us","Orland Park, IL, USA","OK",-87.8539425,41.6303103
"orland park, , il, us","Orland Park, IL, USA","OK",-87.8539425,41.6303103
"midlothian, , il, us","Midlothian, IL 60445, USA","OK",-87.7175491,41.6253116
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"posen, midlothian, il, ","Posen, IL, USA","OK",-87.681437,41.6317008
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"evergreen park, , il, us","Evergreen Park, IL 60805, USA","OK",-87.7017175,41.7205889
"alsip, , il, us","Alsip, IL, USA","OK",-87.7386619,41.6689223
"crestwood, , il, us","Crestwood, IL, USA","OK",-87.7525511,41.6611444
"cuyahoga falls, , oh, us","Cuyahoga Falls, OH, USA","OK",-81.4845585,41.1339449
"hillside, , il, us","Hillside, IL, USA","OK",-87.9028398,41.8778084
"manhattan, , il, us","Manhattan, IL 60442, USA","OK",-87.9858863,41.4225316
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"oak forest, , il, us","Oak Forest, IL, USA","OK",-87.7439384,41.6028116
"posen, , il, us","Posen, IL, USA","OK",-87.681437,41.6317008
"greenup, , ky, us","Greenup, KY 41144, USA","OK",-82.8301677,38.5731349
"homestead, , fl, us","Homestead, FL, USA","OK",-80.4775569,25.4687224
"albuquerque, , nm, us","Albuquerque, NM, USA","OK",-106.650422,35.0843859
"lake worth, , fl, us","Lake Worth, FL, USA","OK",-80.0684479,26.6167555
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"west palm beach, , fl, us","West Palm Beach, FL, USA","OK",-80.0533746,26.7153424
"winnamac, , in, ","Winamac, IN 46996, USA","OK",-86.6030648,41.0514299
"rogers, , mn, us","Rogers, MN 55374, USA","OK",-93.5525206,45.1878015
"liberty hill, , tx, us","Liberty Hill, TX 78642, USA","OK",-97.9225161,30.6649119
"san jose, , ca, us","San Jose, CA, USA","OK",-121.8863286,37.3382082
"hamilton , canada, on, ca","Hamilton, ON, Canada","OK",-79.8711024,43.2557206
"napa, , ca, us","Napa, CA, USA","OK",-122.286865,38.2975381
"laurelville, , oh, us","Laurelville, OH 43135, USA","OK",-82.7393363,39.473397
"oklahoma city, , ok, us","Oklahoma City, OK, USA","OK",-97.5164276,35.4675602
"buxton , uk, , gb","Buxton SK17, UK","OK",-1.91483,53.259082
"central lake, , mi, us","Central Lake, MI 49622, USA","OK",-85.2645105,45.0700047
"portage la prairie , canada0, mb, ","Portage la Prairie, MB, Canada","OK",-98.2903251,49.9723205
"tinley park, , il, us","Tinley Park, IL, USA","OK",-87.7932939,41.5731442
"jones, , mi, us","Jones, MI 49061, USA","OK",-85.7988714,41.9042867
"rio rancho, , nm, us","Rio Rancho, NM, USA","OK",-106.6630437,35.2327544
"bursa , turkey, , ","Bursa, Turkey","OK",29.0609636,40.1885281
"irving, , tx, us","Irving, TX, USA","OK",-96.9488945,32.8140177
"montebello, , ca, us","Montebello, CA, USA","OK",-118.1137535,34.0165053
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
