"place_string","address_google","status","lat","long"
"columbus, , oh, us","Columbus, OH, USA","OK",-82.9987942,39.9611755
"buckeye, , az, us","Buckeye, AZ, USA","OK",-112.5837766,33.3703197
"indianapolis, , in, us","Indianapolis, IN, USA","OK",-86.158068,39.768403
"tybee island , traveling toward, ga, us","1207 US-80, Tybee Island, GA 31328, USA","OK",-80.8474789,31.9975091
"muskegon, , mi, us","Muskegon, MI, USA","OK",-86.2483921,43.2341813
"scarborough , canada, on, ca","Scarborough, Toronto, ON, Canada","OK",-79.2317521,43.7764258
"creemore , canada, on, ca","Creemore, ON L0M 1G0, Canada","OK",-80.1061859,44.3272376
"kelowna , canada, bc, ca","Kelowna, BC, Canada","OK",-119.4960106,49.8879519
"saint paul, , mn, us","St Paul, MN, USA","OK",-93.0899578,44.9537029
"san diego, , ca, us","San Diego, CA, USA","OK",-117.1610838,32.715738
"wakefield, , ma, us","Wakefield, MA 01880, USA","OK",-71.0723391,42.5039395
"myrtle beach, , sc, us","Myrtle Beach, SC, USA","OK",-78.8866943,33.6890603
"irvine, , ca, us","Irvine, CA, USA","OK",-117.8265049,33.6845673
"waco, , tx, us","Waco, TX, USA","OK",-97.1466695,31.549333
"oak lawn, , il, us","Oak Lawn, IL 60453, USA","OK",-87.7479528,41.719978
"kingston, , wa, us","Kingston, WA, USA","OK",-122.4981921,47.7987072
"caracas , venezuela, , ","Caracas, Capital District, Venezuela","OK",-66.9036063,10.4805937
"lansing, , mi, us","Lansing, MI, USA","OK",-84.5555347,42.732535
"rhinebeck, , ny, us","Rhinebeck, NY, USA","OK",-73.9074372,41.9318294
"honey grove, , tx, us","Honey Grove, TX 75446, USA","OK",-95.9099681,33.5834377
"taylorsville, , ut, us","Taylorsville, UT, USA","OK",-111.9388258,40.6677248
"north windham, , ct, us","North Windham, Windham, CT 06256, USA","OK",-72.1555308,41.7483112
"houston, , tx, us","Houston, TX, USA","OK",-95.3698028,29.7604267
