"place_string","address_google","status","lat","long"
"chicago heights, , il, us","Chicago Heights, IL, USA","OK",-87.6355995,41.506146
"winnipeg , canada, mb, ca","Winnipeg, MB, Canada","OK",-97.1383744,49.895136
"colorado springs, , co, us","Colorado Springs, CO, USA","OK",-104.8213634,38.8338816
"deerfield beach, , fl, us","Deerfield Beach, FL, USA","OK",-80.0997657,26.3184123
"wenatchee, , wa, us","Wenatchee, WA 98801, USA","OK",-120.3103494,47.4234599
"yreka, , ca, us","Yreka, CA 96097, USA","OK",-122.6344709,41.7354186
"montreal , canada, qc, ca","Montreal, QC, Canada","OK",-73.567256,45.5016889
"leeds , uk, , gb","Leeds, UK","OK",-1.5490774,53.8007554
"manchester , uk, , gb","Manchester, UK","OK",-2.2426305,53.4807593
"georgetown, , tx, us","Georgetown, TX, USA","OK",-97.6779842,30.6332618
"schwenksville, , pa, us","Schwenksville, PA 19473, USA","OK",-75.4637876,40.256213
"gary, , in, us","Gary, IN, USA","OK",-87.3371523,41.6020403
"losalamos, , nm, ","Los Alamos, NM 87544, USA","OK",-106.3031138,35.8800364
"corona, , ca, us","Corona, CA, USA","OK",-117.5664384,33.8752935
"marshall, , wi, us","Marshall, WI 53559, USA","OK",-89.0667775,43.1683286
"guthriesville, , pa, us","Guthriesville, East Brandywine Township, PA 19335, USA","OK",-75.7635526,40.0331604
"newcastle-upon-tyne , uk, , ","Newcastle upon Tyne, UK","OK",-1.61778,54.978252
"shanghai , china, , ","Shanghai, China","OK",121.473701,31.230416
"salem, , or, us","Salem, OR, USA","OK",-123.0350963,44.9428975
"punta gorda isles, , fl, us","Punta Gorda Isles, Punta Gorda, FL 33950, USA","OK",-82.0784227,26.917562
"pewee valley, , ky, us","Pewee Valley, KY, USA","OK",-85.4874595,38.3106248
"tucson, , az, us","Tucson, AZ, USA","OK",-110.9747108,32.2226066
"bloomsburg, , pa, us","Bloomsburg, PA 17815, USA","OK",-76.4549457,41.003698
"yaisu, fujieda , , ","Yaizu, Shizuoka, Japan","OK",138.3233812,34.8668816
"kennett, , mo, us","Kennett, MO 63857, USA","OK",-90.0556493,36.2361762
"lanagan, , mo, us","Lanagan, MO, USA","OK",-94.4477164,36.608128
"duncan, , ok, us","Duncan, OK, USA","OK",-97.9578128,34.5023028
"strongsville, , oh, us","Strongsville, OH, USA","OK",-81.83569,41.3144966
"san jacinto, , ca, us","San Jacinto, CA, USA","OK",-116.958635,33.7839084
"jacksonville, , fl, us","Jacksonville, FL, USA","OK",-81.655651,30.3321838
"temecula, , ca, us","Temecula, CA, USA","OK",-117.1483648,33.4936391
"cambridge, , nh, ","Cambridge, NH, USA","OK",-71.092813,44.6397109
"kennesaw, , ga, us","Kennesaw, GA, USA","OK",-84.6154897,34.0234337
"marietta, kennesaw, ga, ","Kennesaw, GA, USA","OK",-84.6154897,34.0234337
"phoenix, , az, us","Phoenix, AZ, USA","OK",-112.0740373,33.4483771
"tacoma, , wa, us","Tacoma, WA, USA","OK",-122.4442906,47.2528768
"hamilton, , ga, us","Hamilton, GA 31811, USA","OK",-84.8749311,32.7579106
"hamilton, , ga, us","Hamilton, GA 31811, USA","OK",-84.8749311,32.7579106
"eaton rapids, , mi, us","Eaton Rapids, MI 48827, USA","OK",-84.655814,42.5092039
"mcdonough, , ga, us","McDonough, GA, USA","OK",-84.1468616,33.4473361
"roy, , ut, us","Roy, UT, USA","OK",-112.0263313,41.1616108
"kennedale, , tx, us","Kennedale, TX, USA","OK",-97.2258465,32.646801
"el paso, , tx, us","El Paso, TX, USA","OK",-106.4850217,31.7618778
"henderson, , nv, us","Henderson, NV, USA","OK",-114.9817213,36.0395247
"kennebunkport, , me, us","Kennebunkport, ME 04046, USA","OK",-70.4767274,43.3617327
"kennebunkport, , me, us","Kennebunkport, ME 04046, USA","OK",-70.4767274,43.3617327
"nevada, , nv, ","Nevada, USA","OK",-116.419389,38.8026097
"palmdale, , ca, us","Palmdale, CA, USA","OK",-118.1164613,34.5794343
"santa monica, , ca, us","Santa Monica, CA, USA","OK",-118.4911912,34.0194543
"loma linda, , ca, us","Loma Linda, CA, USA","OK",-117.2611527,34.0483474
"kimball, , wi, us","Kimball, WI 54534, USA","OK",-90.3060114,46.481892
"pasco, , fl, us","Pasco County, FL, USA","OK",-82.4319405,28.3232418
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"st. augustine, , fl, us","St. Augustine, FL, USA","OK",-81.3124341,29.9012437
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"amarillo, , tx, us","Amarillo, TX, USA","OK",-101.8312969,35.2219971
"maryville, , tn, us","Maryville, TN, USA","OK",-83.9704593,35.7564719
"toronto , canada, on, ca","Toronto, ON, Canada","OK",-79.3831843,43.653226
"newaygo, , mi, us","Newaygo, MI 49337, USA","OK",-85.8000506,43.4197429
"wyandotte, , mi, us","Wyandotte, MI, USA","OK",-83.1499239,42.2142064
"wyandotte, , mi, us","Wyandotte, MI, USA","OK",-83.1499239,42.2142064
"lakin, , ks, us","Lakin, KS 67860, USA","OK",-101.254892,37.9405752
"petersfield , canada, mb, ","Petersfield, MB R0C 2L0, Canada","OK",-96.9660635,50.3047522
"santa barbara, , ca, us","Santa Barbara, CA, USA","OK",-119.6981901,34.4208305
"burnsville, , mn, us","Burnsville, MN, USA","OK",-93.2777226,44.7677424
"davenport, , fl, us","Davenport, FL, USA","OK",-81.6017417,28.1614046
"stratford, , ct, us","Stratford, CT, USA","OK",-73.1331651,41.1845415
"fairport, , ny, us","Fairport, NY 14450, USA","OK",-77.4419378,43.0986742
"clemson, , sc, us","Clemson, SC, USA","OK",-82.8373654,34.6834382
"miami, , fl, us","Miami, FL, USA","OK",-80.1917902,25.7616798
"garner, , nc, us","Garner, NC, USA","OK",-78.6141709,35.7112642
"lisbon, , ct, ","Lisbon, CT, USA","OK",-72.0112598,41.5998861
"carmarthen , uk, , gb","Carmarthen SA31, UK","OK",-4.312131,51.85762
"wells, , me, us","Wells, ME 04090, USA","OK",-70.5805209,43.3222329
"riva, , md, us","Riva, MD, USA","OK",-76.5780184,38.9520566
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"plainfield, , ct, us","Plainfield, CT, USA","OK",-71.915073,41.6764876
"southport , uk, , gb","Southport, UK","OK",-3.010113,53.645708
"cary, , nc, us","Cary, NC, USA","OK",-78.7811169,35.79154
"windsor, , ma, us","Windsor, MA 01270, USA","OK",-73.0457124,42.5090217
"naples, , fl, us","Naples, FL, USA","OK",-81.7948103,26.1420358
"las vegas, , nv, us","Las Vegas, NV, USA","OK",-115.1398296,36.1699412
"andrews, , sc, us","Andrews, SC 29510, USA","OK",-79.5608971,33.451278
"east syracuse, , ny, us","East Syracuse, NY 13057, USA","OK",-76.0785332,43.0653446
"virginia beach, , va, us","Virginia Beach, VA, USA","OK",-75.977985,36.8529263
"columbus, , oh, us","Columbus, OH, USA","OK",-82.9987942,39.9611755
"elk neck, , md, us","Elk Neck, 5, North East, MD 21901, USA","OK",-75.9513334,39.5220598
"tulsa, , ok, us","Tulsa, OK, USA","OK",-95.992775,36.1539816
"south sioux city, , ne, us","South Sioux City, NE, USA","OK",-96.4130601,42.4648558
"townville, , pa, us","Townville, PA 16360, USA","OK",-79.8797766,41.677835
"warrington , uk, , gb","Warrington, UK","OK",-2.5969501,53.3900441
"mokena, , il, us","Mokena, IL, USA","OK",-87.8892189,41.5261437
"turners falls, , ma, us","Turners Falls, Montague, MA, USA","OK",-72.5564777,42.6042523
"belleville, , wi, us","Belleville, WI 53508, USA","OK",-89.5381766,42.8597241
"fort wayne, , in, us","Fort Wayne, IN, USA","OK",-85.1393513,41.079273
"murrells inlet, , sc, us","Murrells Inlet, SC 29576, USA","OK",-79.0414261,33.5510021
"richmond, , va, us","Richmond, VA, USA","OK",-77.4360481,37.5407246
"fairbanks, , ak, us","Fairbanks, AK, USA","OK",-147.7163888,64.8377778
"hudson, , nh, us","Hudson, NH 03051, USA","OK",-71.4398074,42.7647763
"hazen, , nd, us","Hazen, ND 58545, USA","OK",-101.622665,47.294448
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
