"place_string","address_google","status","lat","long"
"simi valley, , ca, us","Simi Valley, CA, USA","OK",-118.781482,34.2694474
"carbondale, , il, us","Carbondale, IL, USA","OK",-89.2167501,37.7272727
"waterford, , mi, us","Waterford Twp, MI, USA","OK",-83.4066132,42.6907443
"los angeles, , ca, us","Los Angeles, CA, USA","OK",-118.2436849,34.0522342
"gillingham , uk, , gb","Gillingham, UK","OK",0.551438,51.386322
"hendersonvlle, , tn, ","Hendersonville, TN, USA","OK",-86.6199957,36.3047735
"myrtle beach, , sc, us","Myrtle Beach, SC, USA","OK",-78.8866943,33.6890603
"myrtle beach, , sc, us","Myrtle Beach, SC, USA","OK",-78.8866943,33.6890603
"keller, , tx, us","Keller, TX, USA","OK",-97.229298,32.9341893
"manchester , uk, , gb","Manchester, UK","OK",-2.2426305,53.4807593
"gardendale, , al, us","Gardendale, AL, USA","OK",-86.8127702,33.6601033
"farmers branch, , tx, us","Farmers Branch, TX, USA","OK",-96.8961151,32.9265137
"cornwall, , ny, ","Cornwall, NY, USA","OK",-74.0353681,41.4343383
"rosebud, , tx, us","Rosebud, TX 76570, USA","OK",-96.9785993,31.0729608
"wentzville, , mo, us","Wentzville, MO, USA","OK",-90.8529107,38.81144
"pacifica to belmont, , ca, ",NA,"ZERO_RESULTS",NA,NA
"kankakee , approx. 5 mi. s of, il, us","Kankakee, IL, USA","OK",-87.8611531,41.1200325
"dallas, , tx, us","Dallas, TX, USA","OK",-96.7969879,32.7766642
"indianapolis, , in, us","Indianapolis, IN, USA","OK",-86.158068,39.768403
"tucson, , az, us","Tucson, AZ, USA","OK",-110.9747108,32.2226066
"asheville, , nc, us","Asheville, NC, USA","OK",-82.5514869,35.5950581
"edmond, , ok, us","Edmond, OK, USA","OK",-97.4780954,35.6528323
