"place_string","address_google","status","lat","long"
"bethel, , ct, us","Bethel, CT 06801, USA","OK",-73.4139621,41.3712283
"ashtabula, , oh, us","Ashtabula, OH 44004, USA","OK",-80.7898089,41.8650534
"mt. sterling, , ky, us","Mt Sterling, KY 40353, USA","OK",-83.9432556,38.0564679
"petersville, , al, us","Petersville, Underwood-Petersville, AL 35633, USA","OK",-87.691695,34.8553645
"coral springs, , fl, us","Coral Springs, FL, USA","OK",-80.2706044,26.271192
"raleigh, , nc, us","Raleigh, NC, USA","OK",-78.6381787,35.7795897
"seattle, , wa, us","Seattle, WA, USA","OK",-122.3320708,47.6062095
"lahaina, , hi, us","Lahaina, HI, USA","OK",-156.6825,20.8783333
"old lyme, , ct, us","Old Lyme, CT, USA","OK",-72.3289715,41.3159315
"gillette, , wy, us","Gillette, WY, USA","OK",-105.5022205,44.2910915
"hebbronville, , tx, us","Hebbronville, TX 78361, USA","OK",-98.6783516,27.3067057
"erie, , pa, us","Erie, PA, USA","OK",-80.085059,42.1292241
"delano, , ca, us","Delano, CA, USA","OK",-119.2470536,35.7688425
"orlando, , fl, us","Orlando, FL, USA","OK",-81.3792365,28.5383355
"corvallis, , or, us","Corvallis, OR, USA","OK",-123.2620435,44.5645659
"harefield , uk, , gb","Harefield, UK","OK",-0.484045,51.60314
"ardmore, , ok, us","Ardmore, OK 73401, USA","OK",-97.1436254,34.1742611
"newmarket , canada, on, ca","Newmarket, ON, Canada","OK",-79.461256,44.059187
"hudson, , fl, us","Hudson, FL 34667, USA","OK",-82.6934343,28.3644485
"brigantine, , pa, ","Brigantine Beach, New Jersey 08203, USA","OK",-74.3668129,39.4020614
"n. ft. myers, , fl, ","North Fort Myers, FL, USA","OK",-81.8800861,26.6672935
"dhubri , india, , ","Dhubri, Assam, India","OK",89.9743463,26.0206982
"xalapa , mexico, , ","Xalapa, Ver., Mexico","OK",-96.9101806,19.5437751
"des moines, , ia, us","Des Moines, IA, USA","OK",-93.6249593,41.5868353
